"HolderAddress","Balance","PendingBalanceUpdate"
"0x1c66f8a8fa9d34d26b6767cca81e4f0fb8f0692f","1,119,328.843903659959136176","No"
"0x824d7c48593395a859a5b365b51c05e44bc21cde","1,115,241.209490623526973459","No"
"0xfc63cb57759ce461f7d457c97ac467802bad0c66","1,103,629.357074517723221117","No"
"0x4930d3d0a85848f25b6f89e99708909a82f853e8","1,099,503.841574459513760588","No"
"0xe250c7540ffc0fe802a3cd1ba907adde9d410051","1,096,244.706528820444507661","No"
"0xb2ae0e474f35a46aa5aaf8e3b6f0a80e6620ef09","1,066,794.317718808541307204","No"
"0xcbc26ec2e214498ce08b7765e10a074b0b69444c","1,063,830.067613481765094078","No"
"0x71fceffb5d3c50478a8409da590dc9592abc4faa","1,061,700.485348557735288537","No"
"0x5196b1b71c5ce54d99b353a475f00d9aa645f1c1","1,061,162.72123204203949225","No"
"0xf2a7be2d334db950b8e490def5412827eac8494c","1,058,756.744487014592504099","No"
"0x01122e28f4574fbdbc0cba0d13f8bd00cae4e721","1,057,630.945686924207798149","No"
"0xb73c8efdc999df40a215f3907e215a2c6df5c7f8","1,041,714.698674707864558967","No"
"0xf32e21fa76c391be55099dfd648ffc76421540d9","1,029,303.2301349911946001","No"
"0x088814aa47878c126c527cf61e40955f38305de3","1,029,059.001365236583801593","No"
"0xa3d394f07242d7373d4c4991b317f543bf659171","1,022,414.904963499995634345","No"
"0x8e44561096e10f14a11a038089033915d213fd21","1,021,879.79640149799945939","No"
"0x79378399a4d9ccdfefc10c0fbfa65a8db3cd5393","1,001,963.291777102260437962","No"
"0xe5a149c1d5504c246fafe5fb6d8f44882849a47e","1,000,316.694590898691337485","No"
"0x8db1d5551520a25100171a86df8acd40b270a2d4","1,000,000.622207654064313689","No"
"0x6350932db470515f5a8ee56cef5604741941da01","1,000,000.30174855987850263","No"
"0xbafe7ba26f5df52882c48fbbee0a7a9d1a298c51","987,281.876055404893422677","No"
"0xcfead54e08892e22b999bd739664a90623d73bbf","973,019.950586004804690157","No"
"0xbd3beadc99603d00972f09385c83741e3c136353","957,880.491365236445257263","No"
"0x66b2f77418aaa8df93bb5bd328dc307fb495c3db","957,673.836566423432927024","No"
"0x49f7c899ce95a1c3b5bbe1b2d516f3b3227901ad","936,497.525208986560292319","No"
"0x1a4507a791a304d98fc7882cc365f04c74ddbd74","903,571.2","No"
"0xae5bb34bf4a61d26cd5811eee2149af261490733","894,083.367521597520372374","No"
"0x9d2b1c7e76a2987dd8a9d8271b2078399fa4753c","893,563.658598136897075627","No"
"0xac8d6138db3e394188e9115277ff4e59b276bfda","888,376.165360333810993814","No"
"0x31ea83aee37261f361afa8fcf61af5eedc6d8c84","887,736.993753842476014687","No"
"0x9096fbdd54318f66f73417ba307903d579d7a995","846,164.372571294526019954","No"
"0x482a52e027447eacb34d6e7c11990ae4332edca0","843,162","No"
"0xb4fe41ef395ff554acd0f697ec849f7ebd0355f1","841,544.111713344026364862","No"
"0xfeec7c3ed9160d77331ec07f0fdaaea6a2288f5c","833,531.242688852642770167","No"
"0x9a73116d03f5a0acba4fceeffb27dc7b82ffa94b","832,881.846971602221016956","No"
"0x782bb1c3962cc5c2efde489eb56b1d359ac91be9","818,239.325625368635278526","No"
"0x8dedc55e110b37f5e626d7f69e0ac63ac56eee7f","807,714.422625844035148629","No"
"0x994cf01f34c51426bcb12bd30ff7079e280e1140","805,011.78692785926831236","No"
